threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.24999999999999994,0.9990365315134484,0.38431602680915466,0.19985544490844845,0.1110337750412707,0.1143959325890635,0.6759571210347797,0.2760353329691605,0.21420413659818285,12443,427,99622,12,True
0.25999999999999995,0.9979124849458049,0.38467966573816154,0.20016910254861697,0.11124138548286047,0.11712472445424163,0.6759571210347797,0.2760353329691605,0.21420413659818285,12429,748,99301,26,True
0.26999999999999996,0.9963067041348855,0.38520519028993605,0.20062244856715572,0.11154157303370786,0.12103569650856859,0.6759571210347797,0.2760353329691605,0.21420413659818285,12409,1208,98841,46,True
0.27999999999999997,0.9945403452428744,0.3860393799435292,0.20129680187207488,0.11198097941546055,0.12627106591765627,0.6759571210347797,0.2760353329691605,0.21420413659818285,12387,1819,98230,68,True
0.29,0.9902850260939382,0.3871166183320151,0.20229455228348137,0.1126536726156769,0.13538185308966794,0.6759571210347797,0.2760353329691605,0.21420413659818285,12334,2897,97152,121,True
0.3,0.9851465274989963,0.38851736454137853,0.2035788059032876,0.11351861446228999,0.14667034061011164,0.6759571210347797,0.2760353329691605,0.21420413659818285,12270,4231,95818,185,True
0.30999999999999994,0.9765556001605781,0.38981225682804416,0.20503008950997084,0.11453889689333371,0.16162980871791224,0.6759571210347797,0.2760353329691605,0.21420413659818285,12163,6021,94028,292,True
0.31999999999999995,0.9649136892814131,0.3921965355646351,0.20747697433728388,0.11623498462193164,0.18391346085472515,0.6759571210347797,0.2760353329691605,0.21420413659818285,12018,8673,91376,437,True
0.32999999999999996,0.9507828181453232,0.3942864753279616,0.20995523248082976,0.11800697558545092,0.20784149896892554,0.6759571210347797,0.2760353329691605,0.21420413659818285,11842,11541,88508,613,True
0.33999999999999997,0.9323966278602971,0.39697406832616616,0.21327040329097186,0.12040560296115045,0.238444855294034,0.6759571210347797,0.2760353329691605,0.21420413659818285,11613,15213,84836,842,True
0.3499999999999999,0.9091128061019671,0.39947362479184895,0.21700092948380112,0.12320464832869081,0.27368804664723034,0.6759571210347797,0.2760353329691605,0.21420413659818285,11323,19468,80581,1132,True
0.35999999999999993,0.8844640706543557,0.40217296065889774,0.2212248094707353,0.12642306279838414,0.3106111782692171,0.6759571210347797,0.2760353329691605,0.21420413659818285,11016,23929,76120,1439,True
0.36999999999999994,0.8561220393416299,0.4055452021450576,0.22663124335812965,0.13060199644803724,0.35314299936002275,0.6759571210347797,0.2760353329691605,0.21420413659818285,10663,29067,70982,1792,True
0.37999999999999995,0.8242472902448815,0.407610637740314,0.23183234722912244,0.13488549317426324,0.3952926118182465,0.6759571210347797,0.2760353329691605,0.21420413659818285,10266,34206,65843,2189,True
0.38999999999999996,0.7912484945804897,0.40946484959282037,0.23754142814100632,0.13974758933635847,0.43766443859773874,0.6759571210347797,0.2760353329691605,0.21420413659818285,9855,39384,60665,2600,False
0.3999999999999999,0.758329987956644,0.4105843382397691,0.24325855718958456,0.14486418503351278,0.47767190499893336,0.6759571210347797,0.2760353329691605,0.21420413659818285,9445,44295,55754,3010,False
0.4099999999999999,0.7262143717382578,0.41043489309180675,0.24841052964036087,0.14983103631062814,0.5135017421602788,0.6759571210347797,0.2760353329691605,0.21420413659818285,9045,48726,51323,3410,False
0.41999999999999993,0.695383380168607,0.40999592891699727,0.2537724515807671,0.1552067093167034,0.5472516532745503,0.6759571210347797,0.2760353329691605,0.21420413659818285,8661,52907,47142,3794,False
0.42999999999999994,0.6659173022882376,0.40894612797933083,0.2590175197526623,0.16077693992672573,0.5782016639408376,0.6759571210347797,0.2760353329691605,0.21420413659818285,8294,56756,43293,4161,False
0.43999999999999995,0.6381372942593336,0.4076942805847653,0.26444851106305106,0.16678207952995489,0.6070006399772453,0.6759571210347797,0.2760353329691605,0.21420413659818285,7948,60342,39707,4507,False
0.4499999999999999,0.6093938177438779,0.40503762207161537,0.26948340138469734,0.172991452991453,0.634235227191922,0.6759571210347797,0.2760353329691605,0.21420413659818285,7590,63764,36285,4865,False
0.4599999999999999,0.5832195905258932,0.4021035150844174,0.2743202416918429,0.1793358844587088,0.6583943682002418,0.6759571210347797,0.2760353329691605,0.21420413659818285,7264,66808,33241,5191,False
0.4699999999999999,0.5571256523484545,0.397983413056196,0.27860756444230306,0.18574832026126295,0.680598023181398,0.6759571210347797,0.2760353329691605,0.21420413659818285,6939,69631,30418,5516,False
0.4799999999999999,0.5331995182657567,0.39345214114747495,0.2824214846158753,0.19208075432405855,0.7000373320059731,0.6759571210347797,0.2760353329691605,0.21420413659818285,6641,72116,27933,5814,False
0.48999999999999994,0.5103974307507025,0.3884509624197984,0.28596491228070176,0.1986252148101859,0.7178233662803101,0.6759571210347797,0.2760353329691605,0.21420413659818285,6357,74401,25648,6098,False
0.49999999999999994,0.4909674829385789,0.38478479738233073,0.2905333174961397,0.20630904183535761,0.7345427718125578,0.6759571210347797,0.2760353329691605,0.21420413659818285,6115,76524,23525,6340,False
0.5099999999999999,0.4709755118426335,0.3793768027835625,0.2936964902618535,0.21337892401149466,0.7492178055891346,0.6759571210347797,0.2760353329691605,0.21420413659818285,5866,78424,21625,6589,False
0.5199999999999999,0.4528301886792453,0.3741343168731924,0.29677181720118917,0.22070908664005634,0.7624173362724881,0.6759571210347797,0.2760353329691605,0.21420413659818285,5640,80135,19914,6815,False
0.5299999999999999,0.4376555600160578,0.37010632663869314,0.3005292755540854,0.2288317031190966,0.774461352485245,0.6759571210347797,0.2760353329691605,0.21420413659818285,5451,81679,18370,7004,False
0.5399999999999999,0.420875150541951,0.36401261058567,0.3026733645129626,0.23630708199972952,0.7853054113631516,0.6759571210347797,0.2760353329691605,0.21420413659818285,5242,83108,16941,7213,False
0.5499999999999999,0.40545965475712564,0.357958009044642,0.30445529631639234,0.24373763212510255,0.7949050700419541,0.6759571210347797,0.2760353329691605,0.21420413659818285,5050,84380,15669,7405,False
0.5599999999999999,0.3885989562424729,0.34949885907397243,0.3036672208802585,0.2492019359489239,0.8027003484320557,0.6759571210347797,0.2760353329691605,0.21420413659818285,4840,85467,14582,7615,False
0.57,0.37503010839020473,0.3434003322991869,0.304835867649938,0.25677532845912815,0.8106378439877693,0.6759571210347797,0.2760353329691605,0.21420413659818285,4671,86529,13520,7784,False
