threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.27999999999999997,0.9961842222025025,0.36330097087378643,0.18602570157341353,0.10259175318028951,0.11069168726067946,0.6524730459703898,0.20383803148354168,0.22663342224390717,11226,1002,98198,43,True
0.29,0.9945869198686662,0.36366940089294986,0.18635120418325865,0.10280682443588332,0.1140229385619495,0.6524730459703898,0.20383803148354168,0.22663342224390717,11208,1388,97812,61,True
0.3,0.9921909663679119,0.3643633661817613,0.18693416927899686,0.10318764073978368,0.11954484968633734,0.6524730459703898,0.20383803148354168,0.22663342224390717,11181,2025,97175,88,True
0.30999999999999994,0.9885526666075073,0.3655239395212096,0.1878947856666976,0.10381332239907556,0.1282893843521712,0.6524730459703898,0.20383803148354168,0.22663342224390717,11140,3032,96168,129,True
0.31999999999999995,0.9827846304019877,0.3668773519902475,0.18910773591510216,0.1046193085206877,0.1402203333061764,0.6524730459703898,0.20383803148354168,0.22663342224390717,11075,4415,94785,194,True
0.32999999999999996,0.9739107285473423,0.3682317494614925,0.19051173448132203,0.10558265269800957,0.1557269460210557,0.6524730459703898,0.20383803148354168,0.22663342224390717,10975,6228,92972,294,True
0.33999999999999997,0.9632620463217677,0.37069036170910286,0.19279098473479028,0.10711466350897968,0.17715377164634422,0.6524730459703898,0.20383803148354168,0.22663342224390717,10855,8715,90485,414,True
0.3499999999999999,0.9460466767237554,0.37234822819382646,0.19498500256053844,0.10869365741259954,0.2031248585576044,0.6524730459703898,0.20383803148354168,0.22663342224390717,10661,11778,87422,608,True
0.35999999999999993,0.9270565267548141,0.3749040041915179,0.19800610299274085,0.1108399732634505,0.23392082846771492,0.6524730459703898,0.20383803148354168,0.22663342224390717,10447,15394,83806,822,True
0.36999999999999994,0.9050492501552933,0.37796471983397567,0.20173469286837498,0.11351898846890165,0.2693425304836651,0.6524730459703898,0.20383803148354168,0.22663342224390717,10199,19555,79645,1070,True
0.37999999999999995,0.8768302422575206,0.38003846153846155,0.20544114436601416,0.11635109038669869,0.30812264074084134,0.6524730459703898,0.20383803148354168,0.22663342224390717,9881,24157,75043,1388,True
0.38999999999999996,0.8446179785251575,0.38087844543330024,0.20886319000230413,0.11916566506410256,0.3472829481574016,0.6524730459703898,0.20383803148354168,0.22663342224390717,9518,28846,70354,1751,True
0.3999999999999999,0.8163989706273849,0.3834899250527299,0.21359583952451708,0.12287145242070117,0.38676008654011534,0.6524730459703898,0.20383803148354168,0.22663342224390717,9200,33525,65675,2069,True
0.4099999999999999,0.78072588517171,0.3839641086516305,0.21787744084397173,0.1266045012375525,0.42821062922629877,0.6524730459703898,0.20383803148354168,0.22663342224390717,8798,38506,60694,2471,False
